RCDTS,School Name,City,% ELA Proficiency,% Math Proficiency,% Science Proficiency,zip_code,county,Number of unemployed 16 years and older in the civilian workforce,Population 16 years and older in the civilian workforce,Percentage of families below the poverty level,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage,neighborhood,year_of_economic_data
150162990252767,Ward  L Elem School,Chicago,16.0,*,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252401,Washington  H Elem School,Chicago,32.9,*,*,60619,Cook,5080.0,29132.0,20.6,5080.0,29132.0,20.6,17.43786901002334,Chatham,2023
150162990252505,Webster Elem School,Chicago,32.4,40.0,*,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252506,Wentworth Elem School,Chicago,14.0,5.2,*,60636,Cook,2365.0,12594.0,29.7,2365.0,12594.0,29.7,18.778783547721137,Englewood,2023
150162990252908,West Park Elem Academy,Chicago,34.9,13.3,17.9,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252965,West Ridge Elem School,Chicago,39.8,30.8,15.7,60645,Cook,1661.0,23259.0,12.1,1661.0,23259.0,12.1,7.141321638935466,Rogers Park,2023
150162990252507,Westcott Elem School,Chicago,18.7,6.8,*,60620,Cook,4769.0,29351.0,17.7,4769.0,29351.0,17.7,16.248168716568433,Chatham,2023
150162990250857,Westinghouse High School,Chicago,55.5,31.0,51.1,60624,Cook,2810.0,15155.0,29.2,2810.0,15155.0,29.2,18.541735400857803,East Garfield Park,2023
150162990252513,Whitney Elem School,Chicago,27.1,15.8,28.6,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990250830,World Language High School,Chicago,39.2,*,17.6,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
150162990252542,Yates Elem School,Chicago,23.2,12.8,*,60647,Cook,2365.0,57167.0,8.5,2365.0,57167.0,8.5,4.137002116605734,Humboldt Park,2023
150162990252525,Young Elem School,Chicago,22.6,7.8,17.7,60651,Cook,3488.0,29853.0,23.5,3488.0,29853.0,23.5,11.683917864201252,Humboldt Park,2023
150162990252897,Zapata Elem Academy,Chicago,38.7,19.4,27.7,60623,Cook,3238.0,34361.0,20.1,3238.0,34361.0,20.1,9.423474287709904,North Lawndale,2023
