zip_code,num_unemployed_16_civilian_workforce,population_16_civilian_workforce,percent_below_poverty_level,unemployment_percentage
60619,5080.0,29132.0,20.6,17.43786901002334
60620,4769.0,29351.0,17.7,16.248168716568433
60621,2148.0,11720.0,24.7,18.327645051194537
60623,3238.0,34361.0,20.1,9.423474287709904
60624,2810.0,15155.0,29.2,18.541735400857803
60636,2365.0,12594.0,29.7,18.778783547721137
60647,2365.0,57167.0,8.5,4.137002116605734
60651,3488.0,29853.0,23.5,11.683917864201252
